date,water_area_m2
2022-1-29,3045300.0
2022-10-16,2319900.0
2022-12-15,2600200.0
2022-3-15,1932600.0
2022-5-14,4068800.0
2022-6-23,66200.0
2022-8-12,1416000.0
2023-2-18,248200.0
